Year,Mont,DG-015,S060,E0060,Gas,W-Water,Electric,1.boyama ,reproses,reprosesyüzde,boyamamiktari,paket miktari,buhargun,gunlukboyama ,yedekisletme,kur/tl,toplamenerji,tamirsizenerji,gaztuketim,sutuketim,elektriktuketım,dgazfiyat,sufiyat,elektrikfiyat
2017,6,79419.25,25029.03,68425.65,89891.35,19247.0,272768.4,241286.0,18325.0,0.07058637731066865,259611.0,272134.0,23.0,10490.695652173914,30506.0,3.519175,16.932280850349184,18.07390402756797,0.3098451659158202,0.0663421998710865,0.9402013670346792,0.8835026951981475,1.3004120122616512,0.25085622088189097
2017,7,75046.87,24882.34,69128.9,84952.31,19713.0,280506.6,261891.0,16465.0,0.05915087154579028,278356.0,319124.0,26.0,10072.73076923077,15250.0,3.556397,16.19052187784637,17.152403889958396,0.28934119193749447,0.06714099848095748,0.9553844267487721,0.8833999923015631,1.2622300005072795,0.2464430426948956
2017,8,72939.38,25328.06,67398.53,82566.19,20150.0,268396.2,240506.0,9704.0,0.03878342192558251,250210.0,291185.0,26.0,9250.23076923077,38406.0,3.50946,16.355830737982227,16.924888295496352,0.286076274357624,0.06981594921972448,0.9299422069462538,0.8834049385105454,1.256975682382134,0.2511158131150888
2017,9,79237.29,26578.67,64246.21,89690.3,21230.0,255843.0,243451.0,12666.0,0.04945396049461769,256117.0,237584.0,24.0,10143.791666666666,48795.0,3.467228,16.086101273764513,16.783276115279886,0.29415142729705623,0.0696266463766595,0.8390716009865141,0.883454398078722,1.2519392369288742,0.25111576240116007
2017,10,104604.05,32195.71,73370.46,118395.65,24886.0,292177.8,319163.0,14858.0,0.04448223315300535,334021.0,331883.0,27.0,11820.851851851852,42521.0,3.672914,15.196619663109475,15.820897692976654,0.3144288020991018,0.0660909008822389,0.775950093216693,0.8835126121610043,1.2937277987623563,0.25111579319167987
2017,11,117879.41,30983.46,80771.81,132921.73,24706.0,321651.72,331459.0,26541.0,0.07413687150837989,358000.0,343926.0,29.0,11429.620689655172,38357.0,3.889185,14.896777880371395,15.965891660529467,0.3353586034812051,0.062332695019893684,0.8115202204073599,0.8868332514179584,1.2540864567311585,0.25111574096354905
2017,12,120481.5,27382.71,85057.49,134532.68,21795.0,338718.24,331501.0,24011.0,0.06753921105335403,355512.0,344613.0,29.0,11431.068965517241,34417.0,3.843316,15.542408571750919,16.562278521347032,0.34501840078578405,0.055894791102995674,0.8686664495331201,0.8955556374852565,1.2563757742601513,0.25111576512679096
2018,1,143449.17,27933.16,84121.79,141876.30000000002,21426.0,333207.0,297006.0,32729.0,0.09925849545847423,329735.0,299582.0,30.0,9900.2,48165.0,3.772753,17.92101661524107,19.620281480482422,0.37543344800211703,0.05669753903148981,0.8817332627679281,1.01108620678718,1.303703911136003,0.25246105273898806
2018,2,120398.7,25606.61,87643.41,118891.73,20357.0,320738.67,278901.0,22664.0,0.07515461011722183,301565.0,286128.0,26.0,10726.961538461539,40019.0,3.78455,18.073890173412206,19.358308356311408,0.34806000866551123,0.05959588271113401,0.938974512857745,1.0126751456976866,1.2578773886132535,0.2732548900324367
2018,3,116860.06,26174.55,84220.39,116492.8,20920.0,308211.75,274688.0,26247.0,0.08721817003671889,300935.0,287120.0,29.0,9472.0,39660.0,3.889189,17.156003664533873,18.58847222861896,0.3420273345175355,0.06142192339875806,0.9049215343736696,1.0031526411932754,1.251173518164436,0.273254961889026
2018,4,121265.71,27664.49,98504.45,110686.76,21428.0,311664.78,244805.0,17956.0,0.0683358641503115,262761.0,249932.0,28.0,8743.035714285714,32327.0,4.060187,20.652038765985818,21.990130390489814,0.37509746245187875,0.07261562652496882,1.0561757170742287,1.095575568387764,1.291043961172298,0.31605897207891115
2018,5,129149.27,28599.97,107000.12,117747.16,22763.0,344726.55,290422.0,26520.0,0.08367461554479999,316942.0,297923.0,29.0,10014.551724137931,32891.9,4.417734,17.130635113362324,18.53578485547477,0.3365801884837347,0.06506802228143127,0.9854006429908593,1.09683554151115,1.2564235821288934,0.3103912942011574
2018,6,100065.44,25073.45,97688.7,91214.18000000001,19974.0,293397.93,250353.0,15919.0,0.059784731402475665,266272.0,269952.0,24.0,10431.375,17706.6,4.629054,16.95083522852528,17.957478325817426,0.3212008933067492,0.07033628590323356,1.0331691542954293,1.0970382017357387,1.2553043957144288,0.3329563368085112
2018,7,110743.79,30081.03,125965.35,100931.2,23929.0,344259.72,292982.0,23650.0,0.07469238737714444,316632.0,318005.0,28.0,10463.642857142857,24250.0,4.761595,16.43664975686795,17.662020358667032,0.29608838249012853,0.07019731167970147,1.009908766083278,1.0972205819409657,1.2570951565046595,0.3659020869476104
2018,8,88597.23,23365.95,102651.07,71265.64,16355.0,238281.75,227397.0,19475.0,0.0788870345766227,246872.0,227365.0,21.0,10828.42857142857,14109.0,5.888005,13.966304096436048,15.09254432350325,0.27306830765458023,0.06266739724347749,0.9130233618539281,1.2431970020896466,1.4286731886273312,0.43079702914721757
